latitude,longitude,altitude,geometry,OBJECTID,name,region,city,stars,link,description
49.5350437108,6.3866613437,,Point,1,Victor's FINE DINING by Christian Bau,SL,Perl-Nenning,3,https://www.victors-fine-dining.de/,
49.2294684545,7.0075893048,,Point,2,GästeHaus Klaus Erfort,SL,Saarbrücken,3,https://www.gaestehaus-erfort.de/,
49.4962071673,7.1121759188,,Point,3,Restaurant Kunz,SL,Sankt-Wendel - Bliesen,1,http://www.restaurant-kunz.de/,
49.2364144792,7.2687910478,,Point,4,Hämmerle's Restaurant Barrique,SL,Blieskastel,1,https://www.hämmerles.de/index.php/barrique,
49.0561152679,6.6268517962,,Point,5,Toya Restaurant,LOR,Faulquemont,1,http://toya-restaurant.fr/,
49.1931089559,6.9147415385,,Point,6,La Bonne Auberge,LOR,Stiring-Wendel,1,,
49.1145718934,7.0446118284,,Point,7,Auberge St. Walfrid,LOR,Sarreguemines-Welferding,1,http://www.stwalfrid.fr/,
48.7456611326,6.8588206914,,Point,9,Chez Michèle,LOR,Languimberg,1,http://www.chezmichele.fr/,
48.5649672919,6.4635204619,,Point,11,Château d'Adoménil,LOR,Lunéville,1,http://www.adomenil.com/,
48.1690533002,6.4492326948,,Point,12,Aux Ducs de Lorraine,LOR,Épinal,1,http://www.restaurant-ducsdelorraine.com/,
49.1146728375,6.1704605302,,Point,14,La Maison Dufossé,LOR,Metz,1,http://www.citadelle-metz.com/restaurant-etoile/#biographie,
49.2536803816,6.1649006872,,Point,15,Quai des Saveurs,LOR,Hagondange,1,http://www.quaidessaveurs.com/,
49.6089966327,6.1358278652,,Point,17,Mosconi,LUX,Luxembourg,1,http://www.mosconi.lu/,
49.6115295806,6.1286063512,,Point,18,La Cristallerie,LUX,Luxembourg,1,http://www.hotel-leplacedarmes.com/fr/restaurant-gastronomique/la-cristallerie/,
49.5977435457,6.2495964742,,Point,20,Ma langue sourit,LUX,Oetrange (Contern),2,http://www.mls.lu/,
49.5181155961,6.1870018896,,Point,22,Lea Linster,LUX,Frisange,1,http://www.lealinster.lu/restaurant.aspx,
49.9377774309,6.8114102616,,Point,24,Waldhotel Sonora,RLP,Dreis,3,https://www.hotel-sonnora.de/restaurant,
49.8778387411,6.9264569671,,Point,25,schanz. restaurant,RLP,Piesport,2,http://www.schanz-restaurant.de/,
49.8215258321,6.9026800587,,Point,26,Wein- und Tafelhaus,RLP,Trittenheim,1,http://wein-tafelhaus.de/,
49.7683796369,6.8921562521,,Point,27,Rüssel's Landhaus St. Urban,RLP,Naurath (Wald),1,https://www.ruessels-landhaus.de/gourmetrestaurant,
49.642641682,7.011203546,,Point,28,Le temple,RLP,Neuhütten,1,http://www.le-temple.de/,
49.7421186257,6.6674451627,,Point,29,BECKER'S,RLP,Trier-Olewig,2,http://www.beckers-trier.de/,
49.776898447,7.6581463707,,Point,30,Jungborn,RLP,Bad Sobernheim,1,https://www.bollants.de/kulinarik/restaurant-jungborn,
49.5420957803,8.1382202739,,Point,31,Alte Pfarrey,RLP,Neuleiningen,1,http://www.altepfarrey.com/restaurant/,
49.3540215491,8.1355681557,,Point,32,Urgestein,RLP,Neustadt an der Weinstraße,1,http://www.restaurant-urgestein.de/,
49.4078515067,8.185441695,,Point,33,L.A. Jordan,RLP,Deidesheim,1,http://www.ketschauer-hof.com/restaurant.html,
49.4388439281,8.1817657101,,Point,34,The IZAKAYA,RLP,Wachenheim an der Weinstrasse,1,https://www.restaurant-inten.se/the-izakaya/,
49.8643127484,8.2550978355,,Point,36,Kaupers Restaurant am Kapellenhof,RLP,Selzen,1,https://www.kaupers-kapellenhof.de/,
49.9996078224,8.1260045183,,Point,38,Gourmetrestaurant Dirk Maus,RLP,Heidesheim an Rhein,1,http://www.dirk-maus.de/,
49.1236682715,8.2047101967,,Point,40,Restaurant Krone,RLP,Herxheim-Hayna,1,https://www.hotelkrone.de/kronen-restaurant.html,
50.5510135919,7.1640209167,,Point,41,Steinheuers Restaurant zur Alten Post,RLP,Bad Neuenahr-Ahrweiler,2,https://www.steinheuers.de/steinheuers-restaurant/ueberblick/,
50.5305831636,7.0780941617,,Point,42,Brogsitter Sanct Peter,RLP,Bad Neuenahr-Ahrweiler,1,http://www.sanct-peter.de/restaurants/gourmet/,
50.475145484,4.7259060823,,Point,43,L'Essentiel,WAL,Temploux (Namur),1,https://www.lessentiel.be/,
50.3663826696,4.8460635989,,Point,44,L'Eau vive,WAL,Rivière (Profondeville),2,http://www.eau-vive.be/,
50.5929304696,4.83328962,,Point,45,L'Air du Temps,WAL,Liernu (Eghezée),2,http://www.airdutemps.be/,
50.7418818794,4.8802066513,,Point,46,Aux petits oignons,WAL,Jodoigne,1,http://www.auxpetitsoignons.be/,
50.48644372,5.2222406373,,Point,47,Arabelle Meirlaen ,WAL,Marchin,1,http://www.arabelle.be,
50.258982201,5.0408853291,,Point,48,Hostellerie Gilain,WAL,Liroux (Dinant),1,https://www.hostelleriegilain.com/fr/le-restaurant/,
50.4713695945,5.3878908805,,Point,51,Le Coq aux Champs,WAL,Soheit-Tinlot (Tinlot),1,http://www.lecoqauxchamps.be/,
50.660240347,4.3797400428,,Point,52,Maison Marit,WAL,Braine l'Alleud,1,http://www.maisonmarit.be/,
50.4664872045,4.2702712021,,Point,53,Pouic-Pouic,WAL,Chapelle-lez-Herlaimont,1,https://www.pouicpouic.be/,
50.6823171631,4.3699369046,,Point,54,Philippe Meyers,WAL,Braine l'Alleud,1,http://www.philippe-meyers.be/,
50.3245466577,5.5298448466,,Point,55,Le Cor de Chasse,WAL,Wéris (Durbuy),1,https://www.lecordechasse.be/fr/restaurant-346,
50.5789933991,5.5962350392,,Point,56,Héliport Brasserie,WAL,Liège,1,http://www.heliportbrasserie.be/,
50.2396186754,5.4107947177,,Point,57,Les Pieds dans le Plat,WAL,Marenne (Hotton),1,http://www.lespiedsdansleplat.be,
49.8788905444,5.6826182972,,Point,58,Le Château de Strainchamps,WAL,Strainchamps (Fauvillers),1,https://www.chateaudestrainchamps.com/,
49.9600435951,5.1226477716,,Point,59,La Table de Maxime,WAL,Our (Paliseul),2,http://www.maximecollard.be/la-table-de-maxime/,
49.8954237999,5.1174823145,,Point,60,Le Gastronome,WAL,Noirefontaine (Bouillon),1,https://www.le-gastronome.be/,
50.2801303721,6.1261839944,,Point,61,Hotel zur Post,WAL,Sankt Vith,1,https://www.hotelzurpost.be/,
50.2175012021,4.2434415187,,Point,62,Hostellerie Le Prieuré Saint Géry,WAL,Solre-Saint-Géry (Beaumont),1,https://prieurestgery.be/restaurant/,
50.3607277869,3.8872618765,,Point,63,Les Gourmands,WAL,Blaregnies (Quévy),1,http://www.les-gourmands.be/,
50.4831723164,3.8385741266,,Point,64,D'Eugénie à Emilie,WAL,Baudour (Saint-Ghislain),2,https://fernez.com/deugenie-a-emilie/,
49.5071414243,5.4752378511,,Point,65,Auberge de la Grappe d'Or,WAL,Torgny,1,https://www.lagrappedor.com/fr/restaurant,
50.7297074011,3.6736475372,,Point,66,Château du Mylord,WAL,Ellezelles,2,https://mylord.be/en/,
49.6098425337,6.1332199828,,Point,67,Clairefontaine,LUX,Luxembourg,1,http://www.restaurantclairefontaine.lu/,
49.702568059,6.2173174516,,Point,68,La Distellerie,LUX,Bourglinster (Junglinster),1,http://www.bourglinster.lu/restaurants/restaurant-la-distillerie,
50.5249339304,3.5743792092,,Point,69,L'impératif,WAL,Roucourt (Péruwelz),1,https://www.domainedarondeau.com/limperatif/,
50.5160589537,4.2619660695,,Point,70,Au gré du vent,WAL,Seneffe,1,http://www.resto-augreduvent.be/,
50.4373324985,6.1411946019,,Point,71,La menuiserie,WAL,Champagne (Waimes),1,https://www.lamenuiserie.eu/fr/,
50.5625178815,4.684445531,,Point,72,Chai Gourmand,WAL,Gembloux,1,http://www.chaigourmand.be/,
48.6929837994,6.1812296,,Point,73,Transparence La table de Patrick Fréchin,LOR,Nancy,1,http://restaurant-transparence.fr/,
49.1948579978,7.6208199997,,Point,74,Die Brasserie,RLP,Pirmasens,1,http://www.diebrasserie-ps.de/,
49.4913099952,8.175093999,,Point,75,Intense,RLP,Kallstadt,1,https://www.restaurant-inten.se/,
49.5378379952,8.180730999,,Point,76,Schwarz Gourmet,RLP,Kirchheim,1,http://schwarz-restaurant.de/,
50.2107208588,6.8823794698,,Point,77,Kucher's Gourmet,RLP,Darscheid,1,https://www.kucherslandhotel.de/de/restaurant-daun-eifel.html,
