"name","year","city","latitude","longitude","star"
"Victor's FINE DINING by Christian Bau",2020,"Perl-Nenning",49.5350437108,6.3866613437,"three"
"GästeHaus Klaus Erfort",2020,"Saarbrücken",49.2294684545,7.0075893048,"three"
"Restaurant Kunz",2020,"Sankt-Wendel - Bliesen",49.4962071673,7.1121759188,"one"
"Hämmerle's Restaurant Barrique",2020,"Blieskastel",49.2364144792,7.2687910478,"one"
"Toya Restaurant",2020,"Faulquemont",49.0561152679,6.6268517962,"one"
"La Bonne Auberge",2020,"Stiring-Wendel",49.1931089559,6.9147415385,"one"
"Auberge St. Walfrid",2020,"Sarreguemines-Welferding",49.1145718934,7.0446118284,"one"
"Chez Michèle",2020,"Languimberg",48.7456611326,6.8588206914,"one"
"Château d'Adoménil",2020,"Lunéville",48.5649672919,6.4635204619,"one"
"Aux Ducs de Lorraine",2020,"Épinal",48.1690533002,6.4492326948,"one"
"La Maison Dufossé",2020,"Metz",49.1146728375,6.1704605302,"one"
"Quai des Saveurs",2020,"Hagondange",49.2536803816,6.1649006872,"one"
"Mosconi",2020,"Luxembourg",49.6089966327,6.1358278652,"one"
"La Cristallerie",2020,"Luxembourg",49.6115295806,6.1286063512,"one"
"Ma langue sourit",2020,"Oetrange (Contern)",49.5977435457,6.2495964742,"two"
"Lea Linster",2020,"Frisange",49.5181155961,6.1870018896,"one"
"Waldhotel Sonora",2020,"Dreis",49.9377774309,6.8114102616,"three"
"schanz. restaurant",2020,"Piesport",49.8778387411,6.9264569671,"two"
"Wein- und Tafelhaus",2020,"Trittenheim",49.8215258321,6.9026800587,"one"
"Rüssel's Landhaus St. Urban",2020,"Naurath (Wald)",49.7683796369,6.8921562521,"one"
"Le temple",2020,"Neuhütten",49.642641682,7.011203546,"one"
"BECKER'S",2020,"Trier-Olewig",49.7421186257,6.6674451627,"two"
"Jungborn",2020,"Bad Sobernheim",49.776898447,7.6581463707,"one"
"Alte Pfarrey",2020,"Neuleiningen",49.5420957803,8.1382202739,"one"
"Urgestein",2020,"Neustadt an der Weinstraße",49.3540215491,8.1355681557,"one"
"L.A. Jordan",2020,"Deidesheim",49.4078515067,8.185441695,"one"
"The IZAKAYA",2020,"Wachenheim an der Weinstrasse",49.4388439281,8.1817657101,"one"
"Kaupers Restaurant am Kapellenhof",2020,"Selzen",49.8643127484,8.2550978355,"one"
"Gourmetrestaurant Dirk Maus",2020,"Heidesheim an Rhein",49.9996078224,8.1260045183,"one"
"Restaurant Krone",2020,"Herxheim-Hayna",49.1236682715,8.2047101967,"one"
"Steinheuers Restaurant zur Alten Post",2020,"Bad Neuenahr-Ahrweiler",50.5510135919,7.1640209167,"two"
"Brogsitter Sanct Peter",2020,"Bad Neuenahr-Ahrweiler",50.5305831636,7.0780941617,"one"
"L'Essentiel",2020,"Temploux (Namur)",50.475145484,4.7259060823,"one"
"L'Eau vive",2020,"Rivière (Profondeville)",50.3663826696,4.8460635989,"two"
"L'Air du Temps",2020,"Liernu (Eghezée)",50.5929304696,4.83328962,"two"
"Aux petits oignons",2020,"Jodoigne",50.7418818794,4.8802066513,"one"
"Arabelle Meirlaen",2020,"Marchin",50.48644372,5.2222406373,"one"
"Hostellerie Gilain",2020,"Liroux (Dinant)",50.258982201,5.0408853291,"one"
"Le Coq aux Champs",2020,"Soheit-Tinlot (Tinlot)",50.4713695945,5.3878908805,"one"
"Maison Marit",2020,"Braine l'Alleud",50.660240347,4.3797400428,"one"
"Pouic-Pouic",2020,"Chapelle-lez-Herlaimont",50.4664872045,4.2702712021,"one"
"Philippe Meyers",2020,"Braine l'Alleud",50.6823171631,4.3699369046,"one"
"Le Cor de Chasse",2020,"Wéris (Durbuy)",50.3245466577,5.5298448466,"one"
"Héliport Brasserie",2020,"Liège",50.5789933991,5.5962350392,"one"
"Les Pieds dans le Plat",2020,"Marenne (Hotton)",50.2396186754,5.4107947177,"one"
"Le Château de Strainchamps",2020,"Strainchamps (Fauvillers)",49.8788905444,5.6826182972,"one"
"La Table de Maxime",2020,"Our (Paliseul)",49.9600435951,5.1226477716,"two"
"Le Gastronome",2020,"Noirefontaine (Bouillon)",49.8954237999,5.1174823145,"one"
"Hotel zur Post",2020,"Sankt Vith",50.2801303721,6.1261839944,"one"
"Hostellerie Le Prieuré Saint Géry",2020,"Solre-Saint-Géry (Beaumont)",50.2175012021,4.2434415187,"one"
"Les Gourmands",2020,"Blaregnies (Quévy)",50.3607277869,3.8872618765,"one"
"D'Eugénie à Emilie",2020,"Baudour (Saint-Ghislain)",50.4831723164,3.8385741266,"two"
"Auberge de la Grappe d'Or",2020,"Torgny",49.5071414243,5.4752378511,"one"
"Château du Mylord",2020,"Ellezelles",50.7297074011,3.6736475372,"two"
"Clairefontaine",2020,"Luxembourg",49.6098425337,6.1332199828,"one"
"La Distellerie",2020,"Bourglinster (Junglinster)",49.702568059,6.2173174516,"one"
"L'impératif",2020,"Roucourt (Péruwelz)",50.5249339304,3.5743792092,"one"
"Au gré du vent",2020,"Seneffe",50.5160589537,4.2619660695,"one"
"La menuiserie",2020,"Champagne (Waimes)",50.4373324985,6.1411946019,"one"
"Chai Gourmand",2020,"Gembloux",50.5625178815,4.684445531,"one"
"Transparence La table de Patrick Fréchin",2020,"Nancy",48.6929837994,6.1812296,"one"
"Die Brasserie",2020,"Pirmasens",49.1948579978,7.6208199997,"one"
"Intense",2020,"Kallstadt",49.4913099952,8.175093999,"one"
"Schwarz Gourmet",2020,"Kirchheim",49.5378379952,8.180730999,"one"
"Kucher's Gourmet",2020,"Darscheid",50.2107208588,6.8823794698,"one"
"Da Vinci",2020,"Koblenz",50.3579999978,7.5994389997,"one"
"Schiller`s Restaurant",2020,"Koblenz",50.3692099979,7.5813029997,"one"
"PURS",2020,"Andernach",50.4389381281,7.3972405205,"two"
"YOSO",2020,"Andernach",50.4382399983,7.3983309998,"one"
"Guillou Campagne",2020,"Schouweiler (Dippach)",49.5803949994,5.955346,"one"
"Fani",2020,"Roeser",49.5398839994,6.144703,"one"
"Bistro Racine",2020,"Braine-le-château",50.6821479995,4.27298,"one"
"Le Comptoir de Marie",2020,"Mons",50.4545249995,3.95132,"one"
"Philippe Fauchet",2020,"Saint-Georges",50.6095799995,5.37097,"one"
"Quadras",2020,"Sankt Vith",50.2844739994,6.122129,"one"
"Le Pilori",2020,"Ecaussines-Lalaing",50.5690189995,4.179224,"one"
"L'Arnsbourg",2020,"Baerenthal",48.950262998,7.5435039997,"one"
"Les Jardins d'Anaïs",2020,"Luxembourg",49.6149060156,6.1427697283,"one"
"Landwerk",2020,"Wallerfangen",49.3272787187,6.7203224689,"one"
"Louis Restaurant",2020,"Saarlouis",49.3171087302,6.7552258148,"one"
"Esplanade",2020,"Saarbrücken",49.2349461042,6.9995848103,"one"
"Coquille St. Jacques im Parkrestaurant Nodhausen",2020,"Neuwied",50.4547647503,7.4623690924,"one"
"Admiral",2020,"Kallstadt",49.5127320035,8.1545853468,"one"
"La Plage d'Amée",2020,"Jambes Namur)",50.437600325,4.8642593778,"one"
"La Ligne Rouge",2020,"Lasne",50.6602215461,4.4128000592,"one"
"Little Paris",2020,"Waterloo",50.7230121929,4.3983642495,"one"
