"name","year","city","country","continent","latitude","longitude","cuisine","price","star"
"Kilian Stuba",2019,"Kleinwalsertal","Austria","Europe",47.34858,10.17114,"Creative","5","one"
"Pfefferschiff",2019,"Hallwang","Austria","Europe",47.83787,13.07917,"Classic cuisine","5","one"
"Esszimmer",2019,"Salzburg","Austria","Europe",47.80685,13.03409,"Creative","5","one"
"Carpe Diem",2019,"Salzburg","Austria","Europe",47.80001,13.04006,"Market cuisine","5","one"
"Edvard",2019,"Wien","Austria","Europe",48.216503,16.36852,"Modern cuisine","4","one"
"Das Loft",2019,"Wien","Austria","Europe",48.21272,16.37931,"Modern cuisine","5","one"
"Pramerl & the Wolf",2019,"Wien","Austria","Europe",48.20945,16.37174,"Creative","5","one"
"Walter Bauer",2019,"Wien","Austria","Europe",48.20923,16.37672,"Classic cuisine","5","one"
"SHIKI",2019,"Wien","Austria","Europe",48.204067,16.37098,"Japanese","5","one"
"Tian",2019,"Wien","Austria","Europe",48.20513,16.37456,"Vegetarian","5","one"
"aend",2019,"Wien","Austria","Europe",48.18957,16.34115,"Modern cuisine","5","one"
"Le Ciel by Toni Mörwald",2019,"Wien","Austria","Europe",48.20209,16.37156,"Classic cuisine","5","one"
"Chez TJ",2019,"South San Francisco","USA","North America",37.39468,-122.08044,"Contemporary","4","one"
"Protégé",2019,"South San Francisco","USA","North America",37.427853,-122.14362,"Contemporary","3","one"
"Madera",2019,"San Francisco","USA","North America",37.42014,-122.21151,"Contemporary","3","one"
"The Village Pub",2019,"San Francisco","USA","North America",37.42897,-122.25178,"Contemporary","3","one"
"Plumed Horse",2019,"South San Francisco","USA","North America",37.25648,-122.03537,"Contemporary","4","one"
"Wakuriya",2019,"San Francisco","USA","North America",37.52114,-122.3366,"Japanese","4","one"
"Sushi Yoshizumi",2019,"San Francisco","USA","North America",37.565075,-122.3211,"Japanese","4","one"
"Rasa",2019,"San Francisco","USA","North America",37.577522,-122.345985,"Indian","2","one"
"Maum",2019,"South San Francisco","USA","North America",37.72669,-122.414215,"Korean","4","one"
"Al's Place",2019,"San Francisco","USA","North America",37.748924,-122.42013,"Californian","2","one"
"Aster",2019,"San Francisco","USA","North America",37.755054,-122.423134,"Californian","3","one"
"Omakase",2019,"San Francisco","USA","North America",37.77077,-122.40298,"Japanese","4","one"
"Commonwealth",2019,"San Francisco","USA","North America",37.761395,-122.41946,"Contemporary","2","one"
