"name","year","city","country","continent","latitude","longitude","cuisine","price"
"Kilian Stuba",2019,"Kleinwalsertal","Austria","Europe",47.34858,10.17114,"Creative","5"
"Pfefferschiff",2019,"Hallwang","Austria","Europe",47.83787,13.07917,"Classic cuisine","5"
"Esszimmer",2019,"Salzburg","Austria","Europe",47.80685,13.03409,"Creative","5"
"Carpe Diem",2019,"Salzburg","Austria","Europe",47.80001,13.04006,"Market cuisine","5"
"Edvard",2019,"Wien","Austria","Europe",48.216503,16.36852,"Modern cuisine","4"
"Das Loft",2019,"Wien","Austria","Europe",48.21272,16.37931,"Modern cuisine","5"
"Pramerl & the Wolf",2019,"Wien","Austria","Europe",48.20945,16.37174,"Creative","5"
"Walter Bauer",2019,"Wien","Austria","Europe",48.20923,16.37672,"Classic cuisine","5"
"SHIKI",2019,"Wien","Austria","Europe",48.204067,16.37098,"Japanese","5"
"Tian",2019,"Wien","Austria","Europe",48.20513,16.37456,"Vegetarian","5"
"aend",2019,"Wien","Austria","Europe",48.18957,16.34115,"Modern cuisine","5"
"Le Ciel by Toni Mörwald",2019,"Wien","Austria","Europe",48.20209,16.37156,"Classic cuisine","5"
"Chez TJ",2019,"South San Francisco","USA","North America",37.39468,-122.08044,"Contemporary","4"
"Protégé",2019,"South San Francisco","USA","North America",37.427853,-122.14362,"Contemporary","3"
"Madera",2019,"San Francisco","USA","North America",37.42014,-122.21151,"Contemporary","3"
"The Village Pub",2019,"San Francisco","USA","North America",37.42897,-122.25178,"Contemporary","3"
"Plumed Horse",2019,"South San Francisco","USA","North America",37.25648,-122.03537,"Contemporary","4"
"Wakuriya",2019,"San Francisco","USA","North America",37.52114,-122.3366,"Japanese","4"
"Sushi Yoshizumi",2019,"San Francisco","USA","North America",37.565075,-122.3211,"Japanese","4"
"Rasa",2019,"San Francisco","USA","North America",37.577522,-122.345985,"Indian","2"
"Maum",2019,"South San Francisco","USA","North America",37.72669,-122.414215,"Korean","4"
"Al's Place",2019,"San Francisco","USA","North America",37.748924,-122.42013,"Californian","2"
